Designator,Mid X,Mid Y,Rotation,Layer
A1,114.3,-100.93,180.0,top
C1,95.25,-105.39,270.0,top
C10,179.0,-123.0,0.0,top
C11,190.9,-111.56,180.0,top
C12,177.252,-100.838,180.0,top
C13,147.16,-113.17,180.0,top
C14,141.29,-113.17,180.0,top
C15,153.02,-113.06,0.0,top
C16,129.5,-114.68,90.0,top
C17,157.26,-120.36,270.0,top
C2,95.25,-90.19,270.0,top
C3,95.25,-74.95,270.0,top
C4,95.25,-121.9,270.0,top
C5,95.25,-137.14,270.0,top
C6,95.25,-59.71,270.0,top
C7,100.0,-110.5,180.0,top
C8,180.0,-90.17,90.0,top
C9,100.0,-100.0,90.0,top
D1,95.25,-97.795,90.0,top
D2,95.25,-82.55,90.0,top
D3,95.25,-67.31,90.0,top
D4,95.25,-114.305,90.0,top
D5,95.25,-129.54,90.0,top
D6,95.25,-52.075,90.0,top
J1,77.5,-127.5,90.0,top
J10,157.29,-140.0,180.0,top
J11,195.5,-71.514,270.0,top
J12,167.66,-47.5,0.0,top
J13,171.25,-140.0,180.0,top
J14,133.5,-140.0,180.0,top
J15,115.825,-140.0,180.0,top
J16,156.09,-47.5,0.0,top
J17,127.11,-47.5,0.0,top
J18,147.25,-47.5,0.0,top
J19,185.0,-140.0,180.0,top
J2,77.5,-102.91,90.0,top
J20,195.5,-88.5,270.0,top
J21,124.65,-140.0,180.0,top
J22,114.32,-130.73,180.0,top
J23,195.5,-120.09,270.0,top
J24,195.5,-128.85,270.0,top
J25,116.77,-54.23,0.0,top
J3,77.5,-72.41,90.0,top
J4,77.5,-57.17,90.0,top
J5,106.69,-47.5,0.0,top
J6,116.88,-47.5,0.0,top
J7,137.24,-47.5,0.0,top
J8,142.28,-140.0,180.0,top
J9,104.475,-140.0,180.0,top
L1,187.5,-122.2225,90.0,top
Q1,174.885,-55.62,270.0,top
R1,86.36,-95.25,0.0,top
R10,91.44,-134.62,270.0,top
R11,87.5,-49.53,0.0,top
R12,91.44,-57.15,270.0,top
R13,104.14,-57.15,270.0,top
R14,104.14,-68.58,270.0,top
R15,124.87,-60.0,270.0,top
R16,147.5,-60.0,270.0,top
R17,142.42,-60.0,270.0,top
R18,137.34,-60.0,270.0,top
R19,132.26,-60.0,270.0,top
R2,91.44,-102.87,270.0,top
R20,154.0,-73.0,90.0,top
R21,118.11,-63.5,90.0,top
R22,114.3,-63.5,90.0,top
R23,110.49,-63.5,90.0,top
R24,115.57,-110.49,90.0,top
R25,111.76,-110.49,90.0,top
R26,145.034,-106.426,180.0,top
R27,145.034,-102.87,180.0,top
R28,144.78,-99.314,180.0,top
R29,144.526,-95.758,180.0,top
R3,86.36,-80.01,0.0,top
R30,115.57,-99.06,270.0,top
R31,111.76,-99.06,270.0,top
R32,115.57,-87.63,90.0,top
R33,111.76,-87.63,90.0,top
R34,155.5,-60.0,270.0,top
R35,151.75,-60.0,90.0,top
R37,183.02,-49.17,180.0,top
R38,183.04,-52.86,0.0,top
R4,91.44,-87.63,270.0,top
R40,166.31,-56.77,0.0,top
R5,86.36,-64.77,0.0,top
R6,91.44,-72.39,270.0,top
R7,86.36,-111.76,0.0,top
R8,91.44,-119.38,270.0,top
R9,86.36,-127.0,0.0,top
RV1,85.09,-102.87,90.0,top
RV2,85.09,-87.63,90.0,top
RV3,85.09,-72.39,90.0,top
RV4,85.09,-119.38,90.0,top
RV5,85.09,-134.62,90.0,top
RV6,85.09,-57.15,90.0,top
SW1,137.59,-130.78,0.0,top
U1,138.61,-71.19,270.0,top
U2,171.31,-78.74,0.0,top
U3,131.0,-91.0,180.0,top
U4,183.81,-72.39,0.0,top
U5,152.54,-87.63,270.0,top
U6,180.093,-114.2075,0.0,top
U7,143.014664,-121.135,270.0,top
